Name       Fach           Note
---------------------------------
Max Mustermann	 Mathematik	  1.3
Anna Müller	 Physik	      2.1
John Doe       Chemie       3.0
Jane Doe	 Biologie	  1.7
Mike Smith     Informatik   2.5
---------------------------------
Zusammenfassung:	Leistung		Sehr gut


Name    Fach    Note
---------------------------------
Max Mustermann	 Mathematik	  1.3
Anna Müller	 Physik	      2.1
John Doe       Chemie       3.0
Jane Doe	 Biologie	  1.7
Mike Smith     Informatik   2.5
---------------------------------
Zusammenfassung:	Leistung		Sehr gut
